id,tipo_alerta,vehiculo_placa,destinatario_email,asunto,mensaje,estado,created_at
31,Kilometraje Anómalo,BGK039,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BGK039,Diferencia detectada: 69 km entre 115635 km y 115704 km,enviado,2025-10-05 13:40:50
32,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 3 km entre 26914 km y 26917 km,enviado,2025-10-05 14:03:11
33,Kilometraje Anómalo,CL215121,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL215121,Diferencia detectada: 5 km entre 185205 km y 185210 km,enviado,2025-10-06 13:47:26
34,Kilometraje Anómalo,BNN407,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BNN407,Diferencia detectada: 20 km entre 149617 km y 149637 km,enviado,2025-10-06 15:06:56
35,Kilometraje Anómalo,AB8455,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo AB8455,Diferencia detectada: 44400 km entre 49331 km y 4931 km,enviado,2025-10-06 17:11:19
36,Kilometraje Anómalo,C173325,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo C173325,Diferencia detectada: 3 km entre 76711 km y 76714 km,enviado,2025-10-06 22:19:46
37,Kilometraje Anómalo,AB8455,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo AB8455,Diferencia detectada: 2 km entre 49951 km y 49953 km,enviado,2025-10-07 12:39:20
38,Kilometraje Anómalo,BGK039,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BGK039,Diferencia detectada: 12 km entre 115742 km y 115754 km,enviado,2025-10-07 13:44:50
39,Kilometraje Anómalo,BLC791,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BLC791,Diferencia detectada: 5 km entre 74231 km y 74236 km,enviado,2025-10-07 22:06:18
40,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 2 km entre 138427 km y 138429 km,enviado,2025-10-08 12:12:29
41,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 2 km entre 138429 km y 138431 km,enviado,2025-10-08 13:42:27
42,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 9 km entre 138450 km y 138459 km,enviado,2025-10-09 04:06:44
43,Kilometraje Anómalo,C173325,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo C173325,Diferencia detectada: 60 km entre 76980 km y 76920 km,enviado,2025-10-09 14:54:49
44,Kilometraje Anómalo,BLC791,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BLC791,Diferencia detectada: 30 km entre 74245 km y 74275 km,enviado,2025-10-09 15:17:26
45,Kilometraje Anómalo,CL215121,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL215121,Diferencia detectada: 7 km entre 185341 km y 185348 km,enviado,2025-10-10 14:07:35
46,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 2 km entre 27186 km y 27188 km,enviado,2025-10-10 22:16:28
47,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 2 km entre 27199 km y 27201 km,enviado,2025-10-11 11:52:20
48,Kilometraje Anómalo,BGK039,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BGK039,Diferencia detectada: 24 km entre 115881 km y 115905 km,enviado,2025-10-11 13:31:20
49,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 500 km entre 27759 km y 27259 km,enviado,2025-10-12 21:51:28
50,Kilometraje Anómalo,BLC791,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BLC791,Diferencia detectada: 4 km entre 74293 km y 74297 km,enviado,2025-10-13 15:08:38
51,Kilometraje Anómalo,CL292737,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL292737,Diferencia detectada: 170 km entre 137267 km y 137437 km,enviado,2025-10-13 20:36:40
52,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 245703 km entre 27299 km y 273002 km,enviado,2025-10-14 12:50:50
53,Kilometraje Anómalo,CL215121,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL215121,Diferencia detectada: 7 km entre 185357 km y 185350 km,enviado,2025-10-14 14:20:47
54,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 4000 km entre 27343 km y 23343 km,enviado,2025-10-15 11:57:19
55,Kilometraje Anómalo,AGV 4053,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo AGV 4053,Diferencia detectada: 137171 km entre 367 km y 137538 km,enviado,2025-10-15 22:06:37
56,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 100 km entre 138692 km y 138592 km,enviado,2025-10-16 01:52:35
57,Kilometraje Anómalo,BGK039,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BGK039,Diferencia detectada: 22 km entre 115964 km y 115986 km,enviado,2025-10-16 13:42:23
58,Kilometraje Anómalo,BLC791,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo BLC791,Diferencia detectada: 49 km entre 74301 km y 74350 km,enviado,2025-10-16 14:15:23
59,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 2 km entre 27403 km y 27405 km,enviado,2025-10-16 14:28:16
60,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 111294 km entre 138718 km y 27424 km,enviado,2025-10-16 21:54:01
61,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 34 km entre 27424 km y 27458 km,enviado,2025-10-17 02:52:38
62,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 111261 km entre 27457 km y 138718 km,enviado,2025-10-17 15:17:18
63,Kilometraje Anómalo,CL292737,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL292737,Diferencia detectada: 12 km entre 137608 km y 137620 km,enviado,2025-10-17 15:27:06
64,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 1104 km entre 137620 km y 138724 km,enviado,2025-10-18 00:47:46
65,Kilometraje Anómalo,CL215121,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL215121,Diferencia detectada: 4 km entre 185362 km y 185366 km,enviado,2025-10-18 14:00:54
66,Kilometraje Anómalo,CL348421,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL348421,Diferencia detectada: 4 km entre 27501 km y 27505 km,enviado,2025-10-18 23:34:10
67,Kilometraje Anómalo,CL299881,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo CL299881,Diferencia detectada: 19 km entre 138727 km y 138746 km,enviado,2025-10-19 13:40:59
68,Kilometraje Anómalo,AB8164,contabilidad2@arenalmanoa.com,⚠️ ALERTA: Inconsistencia de Kilometraje - Vehículo AB8164,Diferencia detectada: 29 km entre 192452 km y 192481 km,enviado,2025-10-19 15:24:37
